;;Wind Farm Operational Capacity by Country/Area and Year (MW);;;;;;;;;;;;;;;;;;;;;;;;;;
;;Global Wind Power Tracker, June 2024;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Tracker includes wind farm phases 10 MW and greater.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Countries in bold were updated for the June 2024 release. All others were last updated December 2023.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Global Energy Monitor;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;Denmark;24;102;0;205;204;0;11;0;0;54;297;353;135;148;649;80;167;186;174;744;0;201;747;36;11;350;126
Europe;Estonia;0;0;0;0;0;0;18;0;21;0;39;16;24;101;22;0;18;0;0;0;0;12;0;0;60;0;0
Europe;Faroe Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;25;0;0;0
Europe;Finland;0;0;0;0;0;12;0;0;0;0;0;41;0;24;229;134;375;598;463;0;241;401;671;2114;1723;0;34
Europe;France;23;0;70;45;44;81;327;740;841;1095;1314;1143;1024;751;577;770;984;1642;1787;1432;1373;768;625;1705;775;1534;3516
Europe;Germany;790;538;1172;1262;1405;1082;1176;1529;926;485;1294;703;799;1574;1995;3722;4515;3144;4945;2002;2483;798;1564;2010;2457;347;1740
Europe;Greece;79;129;40;14;134;81;123;163;127;141;168;186;353;119;89;127;159;240;278;208;713;521;342;214;488;0;7
Europe;Hungary;0;0;0;0;0;0;0;0;48;47;0;128;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Ireland;30;27;0;12;58;53;62;98;137;200;87;215;148;47;162;228;289;117;620;309;255;259;77;281;64;0;249
Europe;Italy;121;38;94;98;33;36;401;143;633;717;777;646;1088;697;263;89;215;96;209;218;516;0;118;347;144;47;2206
Europe;Kosovo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;103;0;0;0;0
Europe;Latvia;0;0;0;20;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;59;0;0;0
Europe;Lithuania;0;0;0;0;0;0;0;30;16;14;20;70;0;21;39;0;84;74;45;0;0;0;84;0;249;0;50
Europe;Luxembourg;0;0;0;0;0;13;0;0;0;0;0;0;0;12;0;0;0;29;0;0;0;0;0;0;0;0;62
Europe;Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;46;0;0;0;0;0;0
Europe;Netherlands;50;0;0;24;18;0;0;23;295;90;514;0;20;37;275;121;338;166;1224;0;277;1562;1547;475;2098;186;1145
Europe;North Macedonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;36;0;0
Europe;Norway;0;0;0;40;0;55;110;39;12;58;20;28;85;178;111;45;0;13;332;236;1009;1238;424;294;0;0;1508
Europe;Poland;0;0;20;0;30;0;11;91;127;150;277;344;367;607;538;440;1381;81;120;12;42;459;918;1020;459;122;688
Europe;Portugal;26;35;20;70;77;213;389;625;571;723;709;217;368;29;452;194;180;271;12;81;51;49;135;83;22;0;30
Europe;Romania;0;0;0;0;0;0;0;0;0;0;27;163;445;2169;1375;243;192;12;81;10;0;0;0;0;0;60;659
Europe;Russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;50;715;1137;201;280;35;0
Europe;Serbia;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;42;332;0;0;0;0;106;10
Europe;Spain;1006;803;944;1297;1715;1586;1747;1845;2134;2071;1844;808;918;1025;136;50;20;27;71;275;1719;768;826;1783;264;0;3,804
Europe;Sweden;0;0;0;0;0;11;25;10;158;87;271;357;386;565;709;705;839;552;215;591;678;1997;1788;1958;1540;0;36
Europe;Switzerland;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;13;0;0;0;0;0;0;14;0;12
Europe;Ukraine;10;0;22;6;0;0;0;0;0;0;0;0;0;12;50;25;30;0;20;0;46;14;40;36;138;0;18
Europe;United Kingdom;326;54;92;128;129;424;529;538;672;824;770;982;710;2493;2576;1310;1633;1371;3551;3027;2254;1606;331;4445;1743;0;83
Europe;Åland Islands;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0
Oceania;Australia;5;12;82;32;85;54;229;238;171;410;262;455;380;120;673;679;266;20;587;751;689;2,213;1,953;1,027;0;0;182
Oceania;Fiji;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oceania;New Caledonia;4;0;0;0;0;2;5;18;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oceania;New Zealand;32;0;0;0;0;127;0;0;93;0;173;0;116;0;0;60;0;0;0;0;0;0;252;0;103;0;0
